pin,ward,community_area,census_tract,zip
14334000421373,43,,17031071500,60614
14334000421417,43,,17031071500,60614
14334000421517,43,,17031071500,60614
14334000421521,43,,17031071500,60614
14334000421532,43,,17031071500,60614
20153080160000,20,,,60637
14334040020000,43,,17031071500,60614
15011040571010,,,17031811900,60305
15013140260000,,,17031811900,60305
15021060200000,,,17031816200,60160
15021080100000,,,17031816200,60160
15021110310000,,,17031816200,60160
15031000010000,,,17031816300,60160
15031110500000,,,17031816300,60160
15031260750000,,,17031816300,60160
15034370400000,,,17031816402,60160
14281030651006,44,,17031063200,60657
14281030651032,44,,17031063200,60657
14281030651070,44,,17031063200,60657
14281030651134,44,,17031063200,60657
14281030651147,44,,17031063200,60657
14281030651172,44,,17031063200,60657
14281030651203,44,,17031063200,60657
14281030651209,44,,17031063200,60657
14281070911002,44,,17031063100,60657
14281220181019,44,,17031063301,60657
14283010241004,43,,17031070200,60614
14283070101003,43,,17031070102,60614
14283080080000,43,,17031070102,60614
14283110720000,43,,17031070200,60614
14283110931003,43,,17031070200,60614
14291130351015,32,,17031062700,60657
14291270471054,32,,17031062800,60657
14291280040000,32,,17031062700,60657
14291310600000,32,,17031062800,60657
14292090380000,44,,17031062900,60657
14293020860000,32,,17031070600,60614
14293140481063,32,,17031070600,60614
14293140481070,32,,17031070600,60614
14293140481077,32,,17031070600,60614
14293140481079,32,,17031070600,60614
15034400020000,,,17031816402,60160
15034440090000,,,17031816402,60160
15034580260000,,,17031816402,60160
15041110020000,,,17031816600,60165
15042050580000,,,17031816500,60160
15044100390000,,,17031816500,60160
15051220140000,,,17031816800,60164
15111050010000,,,17031817400,60153
15052080460000,,,17031816700,60164
15052200070000,,,17031816700,60164
15063050160000,,,17031816800,60163
15071080030000,,,17031816800,60163
15072130420000,,,17031816800,60163
15081070600000,,,17031816800,60163
15081120090000,,,17031816800,60163
15082150450000,,,17031816900,60104
15082300310000,,,17031816900,60104
15093090880000,,,17031817000,60104
15093160690000,,,17031817101,60104
