pin,address,housenumber,streetname,city,state,zip,units_res,land_class,building_class,owner_id,lat,lng
19311130130000,,,,,,60459,,202,202,,41.74159677351755,-87.79423204244169
19323190080000,,,,,,60459,,203,203,,41.740077749350306,-87.77733824595155
19331020250000,,,,,,60459,,203,203,,41.74488911228447,-87.75949181498528
17042171020000,1328 N CLARK ST,1328,CLARK,CHICAGO,IL,60610,,241,241,170421710200002024,41.90693130756123,-87.63130174342066
19341200320000,,,,,,60652,,202,202,,41.74549784789095,-87.73776004388647
19343100220000,,,,,,60652,,234,234,,41.73804661650913,-87.73403060932256
19351180570000,,,,,,60652,,202,202,,41.74433282987314,-87.71810750504343
19352150230000,,,,,,60652,,203,203,,41.74475503699354,-87.71043585396365
19353310250000,,,,,,60652,,590,590,,41.735765741260686,-87.72077165862507
19353330510000,,,,,,60652,,203,203,,41.73614445866649,-87.71510026751756
19361040230000,,,,,,60652,,203,203,,41.74828716175139,-87.69711233848945
19361140020000,,,,,,60652,,203,203,,41.74784810708635,-87.69465739034503
19361140230000,,,,,,60652,,202,202,,41.747691583780735,-87.69413369696042
25214270200000,,,,,,60628,,203,203,,41.67912066843828,-87.62549061367672
13032020510000,,,,,,60646,,203,203,,41.996973223438026,-87.73690285580668
19362190350000,,,,,,60652,,203,203,,41.74598741951569,-87.68851942427972
19363070210000,,,,,,60652,,203,203,,41.73833863338107,-87.69962907327235
20021050301003,,,,,,60653,,299,299,,41.82118963351504,-87.60628559436391
20021050301011,,,,,,60653,,299,299,,41.82118963351504,-87.60628559436391
20021050301027,,,,,,60653,,299,299,,41.82118963351504,-87.60628559436391
20023100150000,,,,,,60653,,EX,EX,,41.81344699620168,-87.59786522807346
20032020310000,,,,,,60653,,EX,EX,,41.823711164844156,-87.6072504248193
20032170330000,,,,,,60653,,EX,EX,,41.8188507592156,-87.61329859934925
20032190430000,,,,,,60653,,EX,EX,,41.819236776468415,-87.6071303868684
20041020020000,,,,,,,,RR,RR,,41.82180303932549,-87.64283077815253
20043050240000,,,,,,60609,,202,202,,41.813848827317926,-87.637434311285
20043170120000,,,,,,60609,,212,212,,41.81292038867622,-87.63818250318587
20113120411004,,,,,,60615,,299,299,,41.80072809085,-87.5977565527218
20113180170000,,,,,,60615,,206,206,,41.79843594788913,-87.59859943411473
20113230110000,,,,,,60615,,211,211,,41.79711416569365,-87.59923686006215
20121140541034,,,,,,60615,,299,299,,41.79794541546871,-87.58360350768623
20121140541041,,,,,,,,299,299,,41.79794541546871,-87.58360350768623
20121140541043,,,,,,60615,,299,299,,41.79794541546871,-87.58360350768623
25221050160000,,,,,,60628,,590,590,,41.69013011969148,-87.62277391584341
20121140541072,,,,,,60615,,299,299,,41.79794541546871,-87.58360350768623
20142080240000,,,,,,60637,,EX,EX,,41.791703225079296,-87.59341709639801
20142170240000,,,,,,60637,,211,211,,41.79108296435843,-87.59061597888606
20142170280000,,,,,,60637,,210,210,,41.79042460938259,-87.59062775699418
20143160390000,,,,,,60637,,295,295,,41.781960959289776,-87.60085032198016
20143170180000,,,,,,60637,,211,211,,41.78174801614493,-87.59833151178401
20151230231010,,,,,,60637,,299,299,,41.78826539276363,-87.61784127641116
20154190220000,,,,,,60637,,211,211,,41.78127250550168,-87.61119281117087
20164110470000,,,,,,60621,,EX,EX,,41.78432713868146,-87.62989652131665
25222170140000,,,,,,,,206,206,,41.68813934816529,-87.61281458121985
20171150070000,,,,,,60636,,203,203,,41.79180335545532,-87.65568379804465
20171190050000,,,,,,60636,,211,211,,41.790047453336264,-87.6604977746674
20172010100000,,,,,,60621,,234,234,,41.79317858739065,-87.65329008151869
20173290010000,,,,,,60636,,100,100,,41.78116169391272,-87.65907075197755
20174230670000,,,,,,60621,,EX,EX,,41.78298802832884,-87.64523016666827
20184070110000,,,,,,60636,,202,202,,41.785802446671994,-87.66524856598183
20184140390000,,,,,,60636,,100,100,,41.78335358871585,-87.66602709329788
20184160210000,,,,,,60636,,100,100,,41.781379010972444,-87.67361443162953
20243060160000,,,,,,60649,,206,206,,41.772444321708825,-87.57806205142144
20184270240000,,,,,,60636,,EX,EX,,41.7807057320213,-87.66944707911183
20193000180000,,,,,,60636,,202,202,,41.77118660899929,-87.6824585946502
20193230310000,,,,,,60636,,202,202,,41.76758476743958,-87.67992446070156
20194010260000,,,,,,60636,,202,202,,41.77048449797885,-87.67212199708263
20202120330000,,,,,,60621,,211,211,,41.77685768201826,-87.64870436244765
